date,HR_lying,rMSSD_lying,HRV4T_Recovery_Points,training,physical_condition,trainingRPE, trainingTSS, sleep_quality,sleep_time,muscle_soreness,fatigue,traveling,sickness,alcohol, current_lifestyle
2019-02-12,,,,intense,,7.3,,,0.0,,,not traveling,not sick,nothing,
2019-02-14,63.21,17.20,6.23,easy,6.6,3.0,49,7.1,8.0,2.0,2.7,not traveling,not sick,nothing,3.4
2019-02-15,77.07,402.82,11.44,intense,5.7,6.4,97,7.5,8.0,6.4,3.6,not traveling,not sick,nothing,3.6
2019-02-16,56.14,40.02,7.41,rest,6.1,,,5.0,8.0,6.2,6.2,not traveling,not sick,a little,3.1
2019-02-17,54.37,50.58,7.78,rest,6.0,,,10.0,9.0,3.1,2.8,not traveling,not sick,nothing,3.4
2019-02-18,55.95,35.18,7.21,easy,6.0,3.0,49,8.0,8.0,5.0,6.2,not traveling,not sick,nothing,3.5
2019-02-19,56.87,23.08,6.61,intense,5.7,8.6,,6.2,8.0,3.7,3.6,not traveling,not sick,nothing,3.4
2019-02-20,58.53,34.36,7.18,easy,6.0,0.5,,8.2,8.0,5.0,3.3,not traveling,not sick,a little,3.4
2019-02-21,60.31,43.44,7.54,easy,5.9,3.2,49,6.5,8.0,2.1,7.4,not traveling,not sick,nothing,2.9
2019-02-22,55.07,49.24,7.73,average,6.1,6.0,85,7.3,8.0,3.7,3.5,not traveling,not sick,a little,3.5
2019-02-23,58.58,28.56,6.91,rest,5.9,,,7.5,8.0,3.6,5.0,not traveling,not sick,nothing,3.4
2019-02-24,57.77,37.24,7.30,rest,6.0,,,6.7,7.3,2.3,4.9,not traveling,not sick,nothing,4.0
2019-02-25,58.88,55.00,7.91,easy,6.1,3.0,49,6.2,8.0,2.9,3.6,not traveling,not sick,nothing,3.4
2019-02-26,61.39,137.39,9.48,intense,5.9,7.3,57,7.2,8.0,1.9,1.7,not traveling,not sick,a little,2.6
2019-02-27,55.07,40.31,7.42,easy,6.0,6.0,53,6.0,8.0,5.0,6.4,not traveling,not sick,nothing,5.0
2019-02-28,57.79,31.28,7.04,easy,6.1,3.0,49,7.4,8.0,5.8,5.9,not traveling,not sick,a little,3.8
2019-03-01,59.15,30.46,7.00,average,5.8,7.1,103,6.4,8.0,3.3,3.4,not traveling,sick,nothing,3.1
2019-03-02,59.51,19.52,6.39,rest,5.8,,,9.0,8.0,5.0,3.7,not traveling,sick,a little,3.0
2019-03-03,61.42,23.75,6.65,rest,6.2,,,6.7,8.0,4.5,6.5,not traveling,sick,a little,3.3
2019-03-04,52.89,43.51,7.54,easy,6.0,3.0,49,6.1,8.0,3.5,6.5,not traveling,not sick,nothing,3.5
2019-03-05,63.99,33.79,7.15,intense,6.0,8.4,81,5.9,6.0,7.3,6.1,not traveling,not sick,a little,3.7
2019-03-06,59.12,33.07,7.12,rest,6.2,,,8.9,8.0,7.6,2.3,not traveling,not sick,nothing,2.6
2019-03-07,57.41,36.00,7.25,easy,5.8,3.0,49,6.8,5.8,5.7,5.8,not traveling,not sick,nothing,3.4
2019-03-08,58.53,31.44,7.05,intense,5.7,8.1,69,7.2,8.0,6.7,3.2,not traveling,not sick,a little,3.8
2019-03-09,55.12,28.02,6.88,rest,6.2,,,9.5,8.0,3.7,3.0,not traveling,not sick,a little,3.9
2019-03-10,53.23,34.00,7.16,rest,6.2,,,7.7,8.0,2.6,2.7,not traveling,not sick,a little,5.5
2019-03-11,50.67,68.76,8.28,easy,5.8,2.0,35,3.6,4.4,3.1,7.3,not traveling,not sick,nothing,5.0
2019-03-12,56.54,25.25,6.74,intense,5.7,7.5,72,7.6,7.1,5.0,3.1,not traveling,not sick,a little,5.0
2019-03-13,52.70,32.86,7.11,rest,6.0,,,7.0,7.1,3.4,3.0,not traveling,not sick,a little,5.0
